",Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth"
"1353,2022,4,National,Medicare & Medicaid,All,All,Aged,All,All,2368350.0,3080093.6667,482136.0,0.2036"
"1354,2022,4,National,Medicare Only,All,All,Aged,All,All,17955615.0,23212226.333,2226338.0,0.124"
"1355,2022,4,National,All,American Indian/Alaska Native,All,Aged,All,All,78811.0,104863.0,10312.0,0.1308"
"1356,2022,4,National,All,Asian/Pacific Islander,All,Aged,All,All,603981.0,878218.33333,116344.0,0.1926"
"1357,2022,4,National,All,Black/African American,All,Aged,All,All,1203514.0,1648622.3333,161226.0,0.134"
"1358,2022,4,National,All,Hispanic,All,Aged,All,All,923063.0,1426087.3333,161304.0,0.1747"
"1359,2022,4,National,All,Non-Hispanic White,All,Aged,All,All,16852914.0,21348054.333,2159300.0,0.1281"
"1360,2022,4,National,All,All,All,Disabled,All,All,2206353.0,3145125.3333,613010.0,0.2778"
"1361,2022,4,National,Medicare & Medicaid,All,All,Disabled,All,All,1448532.0,1943756.6667,434507.0,0.3"
"1362,2022,4,National,Medicare Only,All,All,Disabled,All,All,757821.0,1201368.6667,178503.0,0.2355"
"1363,2022,4,National,All,American Indian/Alaska Native,All,Disabled,All,All,23673.0,34054.333333,5455.0,0.2304"
"1364,2022,4,National,All,Asian/Pacific Islander,All,Disabled,All,All,43770.0,67280.666667,13550.0,0.3096"
"1365,2022,4,National,All,Black/African American,All,Disabled,All,All,350790.0,521419.33333,85481.0,0.2437"
"1366,2022,4,National,All,Hispanic,All,Disabled,All,All,211835.0,313339.33333,65697.0,0.3101"
"1367,2022,4,National,All,Non-Hispanic White,All,Disabled,All,All,1510761.0,2103425.3333,421998.0,0.2793"
"1368,2022,4,National,All,All,All,ESRD,All,All,261886.0,274718.66667,52987.0,0.2023"
"1369,2022,4,National,Medicare & Medicaid,All,All,ESRD,All,All,119174.0,120291.66667,25357.0,0.2128"
"1370,2022,4,National,Medicare Only,All,All,ESRD,All,All,142712.0,154427.0,27630.0,0.1936"
"1371,2022,4,National,All,American Indian/Alaska Native,All,ESRD,All,All,4064.0,4123.3333333,787.0,0.1937"
"1372,2022,4,National,All,Asian/Pacific Islander,All,ESRD,All,All,15296.0,16310.666667,3764.0,0.2461"
"1373,2022,4,National,All,Black/African American,All,ESRD,All,All,76914.0,80582.666667,13166.0,0.1712"
"1374,2022,4,National,All,Hispanic,All,ESRD,All,All,43609.0,46110.0,9593.0,0.22"
"1375,2022,4,National,All,Non-Hispanic White,All,ESRD,All,All,112361.0,117011.33333,23588.0,0.2099"
"1376,2022,4,National,All,All,All,All,0-64,All,2329249.0,3279484.6667,638776.0,0.2742"
"1377,2022,4,National,Medicare & Medicaid,All,All,All,0-64,All,1522370.0,2019410.0,450395.0,0.2959"
"1378,2022,4,National,Medicare Only,All,All,All,0-64,All,806879.0,1260074.6667,188381.0,0.2335"
"1379,2022,4,National,All,American Indian/Alaska Native,All,All,0-64,All,26012.0,36450.333333,5934.0,0.2281"
"1380,2022,4,National,All,Asian/Pacific Islander,All,All,0-64,All,50524.0,74869.666667,15231.0,0.3015"
"1381,2022,4,National,All,Black/African American,All,All,0-64,All,393516.0,567295.0,93078.0,0.2365"
"1382,2022,4,National,All,Hispanic,All,All,0-64,All,237172.0,340931.33333,71460.0,0.3013"
"1383,2022,4,National,All,Non-Hispanic White,All,All,0-64,All,1551239.0,2148209.3333,431134.0,0.2779"
"1384,2022,4,National,All,All,All,All,65-74,All,10523343.0,14426873.333,1465059.0,0.1392"
"1385,2022,4,National,Medicare & Medicaid,All,All,All,65-74,All,1234266.0,1703181.6667,265072.0,0.2148"
"1386,2022,4,National,Medicare Only,All,All,All,65-74,All,9289077.0,12723691.667,1199987.0,0.1292"
"1387,2022,4,National,All,American Indian/Alaska Native,All,All,65-74,All,41225.0,56656.0,5848.0,0.1419"
"1388,2022,4,National,All,Asian/Pacific Islander,All,All,65-74,All,308005.0,477115.0,56099.0,0.1821"
"1389,2022,4,National,All,Black/African American,All,All,65-74,All,704109.0,1012948.6667,98856.0,0.1404"
"1390,2022,4,National,All,Hispanic,All,All,65-74,All,515278.0,846321.0,90752.0,0.1761"
"1391,2022,4,National,All,Non-Hispanic White,All,All,65-74,All,8487299.0,11397757.0,1144058.0,0.1348"
"1392,2022,4,National,All,All,All,All,75-84,All,7122276.0,8664234.6667,918975.0,0.129"
"1393,2022,4,National,Medicare & Medicaid,All,All,All,75-84,All,722679.0,890026.33333,141843.0,0.1963"
"1394,2022,4,National,Medicare Only,All,All,All,75-84,All,6399597.0,7774208.3333,777132.0,0.1214"
"1395,2022,4,National,All,American Indian/Alaska Native,All,All,75-84,All,29292.0,37307.0,3559.0,0.1215"
"1396,2022,4,National,All,Asian/Pacific Islander,All,All,75-84,All,206897.0,279823.66667,40206.0,0.1943"
"1397,2022,4,National,All,Black/African American,All,All,75-84,All,383246.0,483437.66667,48564.0,0.1267"
"1398,2022,4,National,All,Hispanic,All,All,75-84,All,296240.0,421078.0,50047.0,0.1689"
"1399,2022,4,National,All,Non-Hispanic White,All,All,75-84,All,6036563.0,7225937.3333,750660.0,0.1244"
"1400,2022,4,National,All,All,All,All,85 and over,All,2817336.0,3341571.3333,351661.0,0.1248"
"1401,2022,4,National,Medicare & Medicaid,All,All,All,85 and over,All,456741.0,531524.0,84690.0,0.1854"
"1402,2022,4,National,Medicare Only,All,All,All,85 and over,All,2360595.0,2810047.3333,266971.0,0.1131"
"1403,2022,4,National,All,American Indian/Alaska Native,All,All,85 and over,All,10019.0,12627.333333,1213.0,0.1211"
"1404,2022,4,National,All,Asian/Pacific Islander,All,All,85 and over,All,97621.0,130001.33333,22122.0,0.2266"
"1405,2022,4,National,All,Black/African American,All,All,85 and over,All,150347.0,186943.0,19375.0,0.1289"
"1406,2022,4,National,All,Hispanic,All,All,85 and over,All,129817.0,177206.33333,24335.0,0.1875"
"1407,2022,4,National,All,Non-Hispanic White,All,All,85 and over,All,2400935.0,2796587.3333,279034.0,0.1162"
"1408,2022,4,National,All,All,All,All,All,Rural,5016040.0,6688631.0,551977.0,0.11"
"1409,2022,4,National,Medicare & Medicaid,All,All,All,All,Rural,896568.0,1164490.0,169615.0,0.1892"
"1410,2022,4,National,Medicare Only,All,All,All,All,Rural,4119472.0,5524141.0,382362.0,0.0928"
"1411,2022,4,National,All,American Indian/Alaska Native,All,All,All,Rural,59977.0,80503.0,8269.0,0.1379"
"1412,2022,4,National,All,Asian/Pacific Islander,All,All,All,Rural,29898.0,45311.666667,3989.0,0.1334"
"1413,2022,4,National,All,Black/African American,All,All,All,Rural,202115.0,271666.33333,20057.0,0.0992"
"1414,2022,4,National,All,Hispanic,All,All,All,Rural,144637.0,219783.33333,23994.0,0.1659"
"1415,2022,4,National,All,Non-Hispanic White,All,All,All,Rural,4465176.0,5909997.3333,481700.0,0.1079"
"1416,2022,4,National,All,All,All,All,All,Urban,17729655.0,22908232.667,2817544.0,0.1589"
"1417,2022,4,National,Medicare & Medicaid,All,All,All,All,Urban,3031091.0,3965361.6667,770913.0,0.2543"
"1418,2022,4,National,Medicare Only,All,All,All,All,Urban,14698564.0,18942871.0,2046631.0,0.1392"
"1419,2022,4,National,All,American Indian/Alaska Native,All,All,All,Urban,46198.0,61931.0,8221.0,0.178"
"1420,2022,4,National,All,Asian/Pacific Islander,All,All,All,Urban,627931.0,900935.66667,129401.0,0.2061"
"1421,2022,4,National,All,Black/African American,All,All,All,Urban,1420185.0,1962269.3333,239019.0,0.1683"
"1422,2022,4,National,All,Hispanic,All,All,All,Urban,1028839.0,1548196.3333,212142.0,0.2062"
"1423,2022,4,National,All,Non-Hispanic White,All,All,All,Urban,13986262.0,17600387.333,2120027.0,0.1516"
"1424,2023,Overall,National,All,All,All,All,All,All,27896098.0,28623931.167,6971495.0,0.2499"
"1425,2023,Overall,National,All,All,All,All,All,Rural,6435230.0,6603875.8333,1238658.0,0.1925"
"1426,2023,Overall,National,All,All,All,All,All,Urban,21397032.0,21905134.083,5721221.0,0.2674"
"1427,2023,Overall,National,All,All,All,All,0-64,All,2810361.0,2891501.0,1032365.0,0.3673"
"1428,2023,Overall,National,All,All,All,All,65-74,All,12947116.0,13442280.833,3005825.0,0.2322"
"1429,2023,Overall,National,All,All,All,All,75-84,All,8624984.0,8837580.1667,2090530.0,0.2424"
"1430,2023,Overall,National,All,All,All,All,85 and over,All,3513637.0,3452569.1667,842775.0,0.2399"
"1431,2023,Overall,National,All,All,All,Aged,All,All,24917805.0,25587291.25,5875138.0,0.2358"
"1432,2023,Overall,National,All,All,All,Disabled,All,All,2669016.0,2772697.0,982099.0,0.368"
"1433,2023,Overall,National,All,All,All,ESRD,All,All,309277.0,263942.91667,114258.0,0.3694"
"1434,2023,Overall,National,All,All,Female,All,All,All,15594412.0,15651699.083,4138005.0,0.2654"
"1435,2023,Overall,National,All,All,Male,All,All,All,12301686.0,12972232.083,2833490.0,0.2303"
"1436,2023,Overall,National,All,American Indian/Alaska Native,All,All,All,All,128718.0,131927.0,32703.0,0.2541"
"1437,2023,Overall,National,All,American Indian/Alaska Native,All,All,All,Rural,73809.0,75471.333333,17380.0,0.2355"
"1438,2023,Overall,National,All,American Indian/Alaska Native,All,All,All,Urban,54422.0,55872.916667,15168.0,0.2787"
"1439,2023,Overall,National,All,American Indian/Alaska Native,All,All,0-64,All,30014.0,31419.75,10005.0,0.3333"
"1440,2023,Overall,National,All,American Indian/Alaska Native,All,All,65-74,All,47809.0,49365.25,11332.0,0.237"
"1441,2023,Overall,National,All,American Indian/Alaska Native,All,All,75-84,All,37343.0,37859.416667,8379.0,0.2244"
"1442,2023,Overall,National,All,American Indian/Alaska Native,All,All,85 and over,All,13552.0,13282.583333,2987.0,0.2204"
"1443,2023,Overall,National,All,American Indian/Alaska Native,All,Aged,All,All,96657.0,98751.666667,21980.0,0.2274"
"1444,2023,Overall,National,All,American Indian/Alaska Native,All,Disabled,All,All,27724.0,29416.75,9083.0,0.3276"
"1445,2023,Overall,National,All,American Indian/Alaska Native,All,ESRD,All,All,4337.0,3758.5833333,1640.0,0.3781"
"1446,2023,Overall,National,All,American Indian/Alaska Native,Female,All,All,All,74657.0,74383.083333,20349.0,0.2726"
"1447,2023,Overall,National,All,American Indian/Alaska Native,Male,All,All,All,54061.0,57543.916667,12354.0,0.2285"
"1448,2023,Overall,National,All,Asian/Pacific Islander,All,All,All,All,864608.0,937278.91667,273821.0,0.3167"
"1449,2023,Overall,National,All,Asian/Pacific Islander,All,All,All,Rural,41895.0,45831.833333,9197.0,0.2195"
"1450,2023,Overall,National,All,Asian/Pacific Islander,All,All,All,Urban,815029.0,875805.66667,263877.0,0.3238"
"1451,2023,Overall,National,All,Asian/Pacific Islander,All,All,0-64,All,62590.0,67455.333333,25482.0,0.4071"
"1452,2023,Overall,National,All,Asian/Pacific Islander,All,All,65-74,All,406832.0,447335.58333,115780.0,0.2846"
"1453,2023,Overall,National,All,Asian/Pacific Islander,All,All,75-84,All,266351.0,286324.83333,85444.0,0.3208"
"1454,2023,Overall,National,All,Asian/Pacific Islander,All,All,85 and over,All,128835.0,136163.16667,47115.0,0.3657"
"1455,2023,Overall,National,All,Asian/Pacific Islander,All,Aged,All,All,791834.0,860837.75,243804.0,0.3079"
"1456,2023,Overall,National,All,Asian/Pacific Islander,All,Disabled,All,All,55165.0,60839.25,22407.0,0.4062"
"1457,2023,Overall,National,All,Asian/Pacific Islander,All,ESRD,All,All,17609.0,15601.916667,7610.0,0.4322"
"1458,2023,Overall,National,All,Asian/Pacific Islander,Female,All,All,All,518731.0,555243.5,167483.0,0.3229"
"1459,2023,Overall,National,All,Asian/Pacific Islander,Male,All,All,All,345877.0,382035.41667,106338.0,0.3074"
"1460,2023,Overall,National,All,Black/African American,All,All,All,All,2011740.0,2071682.0,525451.0,0.2612"
"1461,2023,Overall,National,All,Black/African American,All,All,All,Rural,247006.0,246727.33333,44079.0,0.1785"
"1462,2023,Overall,National,All,Black/African American,All,All,All,Urban,1753168.0,1809261.0,479532.0,0.2735"
"1463,2023,Overall,National,All,Black/African American,All,All,0-64,All,477460.0,482463.5,156363.0,0.3275"
"1464,2023,Overall,National,All,Black/African American,All,All,65-74,All,871532.0,914616.33333,206366.0,0.2368"
"1465,2023,Overall,National,All,Black/African American,All,All,75-84,All,470982.0,484566.0,114696.0,0.2435"
"1466,2023,Overall,National,All,Black/African American,All,All,85 and over,All,191766.0,190036.16667,48026.0,0.2504"
"1467,2023,Overall,National,All,Black/African American,All,Aged,All,All,1493917.0,1554985.8333,355629.0,0.2381"
"1468,2023,Overall,National,All,Black/African American,All,Disabled,All,All,430330.0,443985.75,141406.0,0.3286"
"1469,2023,Overall,National,All,Black/African American,All,ESRD,All,All,87493.0,72710.416667,28416.0,0.3248"
"1470,2023,Overall,National,All,Black/African American,Female,All,All,All,1161262.0,1140289.6667,331252.0,0.2853"
"1471,2023,Overall,National,All,Black/African American,Male,All,All,All,850478.0,931392.33333,194199.0,0.2283"
"1472,2023,Overall,National,All,Hispanic,All,All,All,All,1550769.0,1719717.0,465243.0,0.3"
"1473,2023,Overall,National,All,Hispanic,All,All,All,Rural,201352.0,221899.16667,51711.0,0.2568"
"1474,2023,Overall,National,All,Hispanic,All,All,All,Urban,1341733.0,1479921.0,412382.0,0.3074"
"1475,2023,Overall,National,All,Hispanic,All,All,0-64,All,297585.0,308196.41667,119037.0,0.4"
"1476,2023,Overall,National,All,Hispanic,All,All,65-74,All,701359.0,802282.25,185799.0,0.2649"
"1477,2023,Overall,National,All,Hispanic,All,All,75-84,All,380313.0,425384.33333,107040.0,0.2815"
"1478,2023,Overall,National,All,Hispanic,All,All,85 and over,All,171512.0,183854.0,53367.0,0.3112"
"1479,2023,Overall,National,All,Hispanic,All,Aged,All,All,1231234.0,1392880.25,337529.0,0.2741"
"1480,2023,Overall,National,All,Hispanic,All,Disabled,All,All,268203.0,283292.25,108054.0,0.4029"
"1481,2023,Overall,National,All,Hispanic,All,ESRD,All,All,51332.0,43544.5,19660.0,0.383"
"1482,2023,Overall,National,All,Hispanic,Female,All,All,All,882445.0,927978.0,287323.0,0.3256"
"1483,2023,Overall,National,All,Hispanic,Male,All,All,All,668324.0,791739.0,177920.0,0.2662"
"1484,2023,Overall,National,All,Non-Hispanic White,All,All,All,All,22308938.0,22701864.083,5397394.0,0.2419"
"1485,2023,Overall,National,All,Non-Hispanic White,All,All,All,Rural,5694007.0,5833688.8333,1080858.0,0.1898"
"1486,2023,Overall,National,All,Non-Hispanic White,All,All,All,Urban,16582417.0,16810340.167,4309402.0,0.2599"
"1487,2023,Overall,National,All,Non-Hispanic White,All,All,0-64,All,1819980.0,1874315.4167,676522.0,0.3717"
"1488,2023,Overall,National,All,Non-Hispanic White,All,All,65-74,All,10313488.0,10613119.833,2339165.0,0.2268"
"1489,2023,Overall,National,All,Non-Hispanic White,All,All,75-84,All,7207416.0,7328025.3333,1703536.0,0.2364"
"1490,2023,Overall,National,All,Non-Hispanic White,All,All,85 and over,All,2968054.0,2886403.5,678171.0,0.2285"
"1491,2023,Overall,National,All,Non-Hispanic White,All,Aged,All,All,20401208.0,20750983.833,4686619.0,0.2297"
"1492,2023,Overall,National,All,Non-Hispanic White,All,Disabled,All,All,1772989.0,1834250.0,658891.0,0.3716"
"1493,2023,Overall,National,All,Non-Hispanic White,All,ESRD,All,All,134741.0,116630.25,51884.0,0.3851"
"1494,2023,Overall,National,All,Non-Hispanic White,Female,All,All,All,12491551.0,12488297.417,3199061.0,0.2561"
"1495,2023,Overall,National,All,Non-Hispanic White,Male,All,All,All,9817387.0,10213566.667,2198333.0,0.2239"
"1496,2023,Overall,National,Medicare & Medicaid,All,All,All,All,All,5088019.0,4943298.8333,1754077.0,0.3447"
"1497,2023,Overall,National,Medicare & Medicaid,All,All,All,All,Rural,1160308.0,1117802.0,330967.0,0.2852"
"1498,2023,Overall,National,Medicare & Medicaid,All,All,All,All,Urban,3916918.0,3810957.6667,1420156.0,0.3626"
"1499,2023,Overall,National,Medicare & Medicaid,All,All,All,0-64,All,1876778.0,1827991.3333,732434.0,0.3903"
"1500,2023,Overall,National,Medicare & Medicaid,All,All,All,65-74,All,1691248.0,1662624.0,529654.0,0.3132"
"1501,2023,Overall,National,Medicare & Medicaid,All,All,All,75-84,All,920262.0,895252.16667,300865.0,0.3269"
"1502,2023,Overall,National,Medicare & Medicaid,All,All,All,85 and over,All,599731.0,557431.33333,191124.0,0.3187"
"1503,2023,Overall,National,Medicare & Medicaid,All,All,Aged,All,All,3154735.0,3069949.0,999620.0,0.3169"
"1504,2023,Overall,National,Medicare & Medicaid,All,All,Disabled,All,All,1791296.0,1759283.0833,700615.0,0.3911"
"1505,2023,Overall,National,Medicare & Medicaid,All,All,ESRD,All,All,141988.0,114066.75,53842.0,0.3792"
"1506,2023,Overall,National,Medicare & Medicaid,All,Female,All,All,All,2927245.0,2760718.3333,1070584.0,0.3657"
"1507,2023,Overall,National,Medicare & Medicaid,All,Male,All,All,All,2160774.0,2182580.5,683493.0,0.3163"
"1508,2023,Overall,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,56456.0,56292.666667,16576.0,0.2936"
"1509,2023,Overall,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,386354.0,394820.91667,144390.0,0.3737"
"1510,2023,Overall,National,Medicare & Medicaid,Black/African American,All,All,All,All,798526.0,747831.16667,249610.0,0.3126"
"1511,2023,Overall,National,Medicare & Medicaid,Hispanic,All,All,All,All,751391.0,761919.16667,269652.0,0.3589"
"1512,2023,Overall,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2862607.0,2750412.3333,990284.0,0.3459"
"1513,2023,Overall,National,Medicare Only,All,All,All,All,All,22808079.0,23680632.333,5217418.0,0.2288"
"1514,2023,Overall,National,Medicare Only,All,All,All,All,Rural,5274922.0,5486073.8333,907691.0,0.1721"
"1515,2023,Overall,National,Medicare Only,All,All,All,All,Urban,17480114.0,18094176.417,4301065.0,0.2461"
"1516,2023,Overall,National,Medicare Only,All,All,All,0-64,All,933583.0,1063509.6667,299931.0,0.3213"
"1517,2023,Overall,National,Medicare Only,All,All,All,65-74,All,11255868.0,11779656.833,2476171.0,0.22"
"1518,2023,Overall,National,Medicare Only,All,All,All,75-84,All,7704722.0,7942328.0,1789665.0,0.2323"
"1519,2023,Overall,National,Medicare Only,All,All,All,85 and over,All,2913906.0,2895137.8333,651651.0,0.2236"
"1520,2023,Overall,National,Medicare Only,All,All,Aged,All,All,21763070.0,22517342.25,4875518.0,0.224"
"1521,2023,Overall,National,Medicare Only,All,All,Disabled,All,All,877720.0,1013413.9167,281484.0,0.3207"
"1522,2023,Overall,National,Medicare Only,All,All,ESRD,All,All,167289.0,149876.16667,60416.0,0.3611"
"1523,2023,Overall,National,Medicare Only,All,Female,All,All,All,12667167.0,12890980.75,3067421.0,0.2422"
"1524,2023,Overall,National,Medicare Only,All,Male,All,All,All,10140912.0,10789651.583,2149997.0,0.212"
"1525,2023,Overall,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,72262.0,75634.333333,16127.0,0.2232"
"1526,2023,Overall,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,478254.0,542458.0,129431.0,0.2706"
"1527,2023,Overall,National,Medicare Only,Black/African American,All,All,All,All,1213214.0,1323850.8333,275841.0,0.2274"
"1528,2023,Overall,National,Medicare Only,Hispanic,All,All,All,All,799378.0,957797.83333,195591.0,0.2447"
"1529,2023,Overall,National,Medicare Only,Non-Hispanic White,All,All,All,All,19446331.0,19951451.75,4407110.0,0.2266"
"1530,2023,1,National,All,All,All,All,All,All,21979182.0,28668065.667,3251153.0,0.1479"
"1531,2023,1,National,Medicare & Medicaid,All,All,All,All,All,3937806.0,5106590.0,946547.0,0.2404"
"1532,2023,1,National,Medicare Only,All,All,All,All,All,18041376.0,23561475.667,2304606.0,0.1277"
"1533,2023,1,National,All,American Indian/Alaska Native,All,All,All,All,103262.0,135972.33333,16548.0,0.1603"
"1534,2023,1,National,Medicare & Medicaid,American Indian/Alaska Native,All,All,All,All,44798.0,58945.333333,8928.0,0.1993"
"1535,2023,1,National,Medicare Only,American Indian/Alaska Native,All,All,All,All,58464.0,77027.0,7620.0,0.1303"
"1536,2023,1,National,All,Asian/Pacific Islander,All,All,All,All,649548.0,941118.0,131692.0,0.2027"
"1537,2023,1,National,Medicare & Medicaid,Asian/Pacific Islander,All,All,All,All,295771.0,403717.33333,74994.0,0.2536"
"1538,2023,1,National,Medicare Only,Asian/Pacific Islander,All,All,All,All,353777.0,537400.66667,56698.0,0.1603"
"1539,2023,1,National,All,Black/African American,All,All,All,All,1553233.0,2109505.0,250455.0,0.1612"
"1540,2023,1,National,Medicare & Medicaid,Black/African American,All,All,All,All,608745.0,785725.0,129373.0,0.2125"
"1541,2023,1,National,Medicare Only,Black/African American,All,All,All,All,944488.0,1323780.0,121082.0,0.1282"
"1542,2023,1,National,All,Hispanic,All,All,All,All,1147889.0,1730757.0,227179.0,0.1979"
"1543,2023,1,National,Medicare & Medicaid,Hispanic,All,All,All,All,555821.0,780810.33333,139086.0,0.2502"
"1544,2023,1,National,Medicare Only,Hispanic,All,All,All,All,592068.0,949946.66667,88093.0,0.1488"
"1545,2023,1,National,All,Non-Hispanic White,All,All,All,All,17786626.0,22736427.0,2501581.0,0.1406"
"1546,2023,1,National,Medicare & Medicaid,Non-Hispanic White,All,All,All,All,2281632.0,2858796.0,552963.0,0.2424"
"1547,2023,1,National,Medicare Only,Non-Hispanic White,All,All,All,All,15504994.0,19877631.0,1948618.0,0.1257"
"1548,2023,1,National,All,All,Female,All,All,All,12452379.0,15679987.667,1970928.0,0.1583"
"1549,2023,1,National,Medicare & Medicaid,All,Female,All,All,All,2322693.0,2862181.6667,585984.0,0.2523"
"1550,2023,1,National,Medicare Only,All,Female,All,All,All,10129686.0,12817806.0,1384944.0,0.1367"
"1551,2023,1,National,All,American Indian/Alaska Native,Female,All,All,All,61120.0,76612.333333,10464.0,0.1712"
"1552,2023,1,National,All,Asian/Pacific Islander,Female,All,All,All,392555.0,557313.33333,81111.0,0.2066"
"1553,2023,1,National,All,Black/African American,Female,All,All,All,920675.0,1161520.6667,161014.0,0.1749"
"1554,2023,1,National,All,Hispanic,Female,All,All,All,669369.0,934837.33333,143296.0,0.2141"
"1555,2023,1,National,All,Non-Hispanic White,Female,All,All,All,10087553.0,12514595.0,1515157.0,0.1502"
"1556,2023,1,National,All,All,Male,All,All,All,9526803.0,12988078.0,1280225.0,0.1344"
"1557,2023,1,National,Medicare & Medicaid,All,Male,All,All,All,1615113.0,2244408.3333,360563.0,0.2232"
"1558,2023,1,National,Medicare Only,All,Male,All,All,All,7911690.0,10743669.667,919662.0,0.1162"
"1559,2023,1,National,All,American Indian/Alaska Native,Male,All,All,All,42142.0,59360.0,6084.0,0.1444"
"1560,2023,1,National,All,Asian/Pacific Islander,Male,All,All,All,256993.0,383804.66667,50581.0,0.1968"
"1561,2023,1,National,All,Black/African American,Male,All,All,All,632558.0,947984.33333,89441.0,0.1414"
"1562,2023,1,National,All,Hispanic,Male,All,All,All,478520.0,795919.66667,83883.0,0.1753"
"1563,2023,1,National,All,Non-Hispanic White,Male,All,All,All,7699073.0,10221832.0,986424.0,0.1281"
"1564,2023,1,National,All,All,All,Aged,All,All,19689824.0,25569918.667,2622423.0,0.1332"
"1565,2023,1,National,Medicare & Medicaid,All,All,Aged,All,All,2450114.0,3172160.6667,503953.0,0.2057"
"1566,2023,1,National,Medicare Only,All,All,Aged,All,All,17239710.0,22397758.0,2118470.0,0.1229"
"1567,2023,1,National,All,American Indian/Alaska Native,All,Aged,All,All,77544.0,101338.0,10505.0,0.1355"
"1568,2023,1,National,All,Asian/Pacific Islander,All,Aged,All,All,592703.0,863181.33333,114711.0,0.1935"
"1569,2023,1,National,All,Black/African American,All,Aged,All,All,1160175.0,1571629.6667,158466.0,0.1366"
"1570,2023,1,National,All,Hispanic,All,Aged,All,All,905830.0,1398515.0,155403.0,0.1716"
"1571,2023,1,National,All,Non-Hispanic White,All,Aged,All,All,16294712.0,20743196.667,2083845.0,0.1279"
"1572,2023,1,National,All,All,All,Disabled,All,All,2014848.0,2817735.3333,572481.0,0.2841"
"1573,2023,1,National,Medicare & Medicaid,All,All,Disabled,All,All,1363717.0,1811550.3333,415539.0,0.3047"
"1574,2023,1,National,Medicare Only,All,All,Disabled,All,All,651131.0,1006185.0,156942.0,0.241"
"1575,2023,1,National,All,American Indian/Alaska Native,All,Disabled,All,All,21635.0,30542.666667,5229.0,0.2417"
"1576,2023,1,National,All,Asian/Pacific Islander,All,Disabled,All,All,40949.0,61483.333333,12989.0,0.3172"
"1577,2023,1,National,All,Black/African American,All,Disabled,All,All,316614.0,460275.66667,78654.0,0.2484"
"1578,2023,1,National,All,Hispanic,All,Disabled,All,All,197735.0,286548.0,62033.0,0.3137"
"1579,2023,1,National,All,Non-Hispanic White,All,Disabled,All,All,1369062.0,1868211.6667,391729.0,0.2861"
"1580,2023,1,National,All,All,All,ESRD,All,All,274510.0,280411.66667,56249.0,0.2049"
"1581,2023,1,National,Medicare & Medicaid,All,All,ESRD,All,All,123975.0,122879.0,27055.0,0.2182"
"1582,2023,1,National,Medicare Only,All,All,ESRD,All,All,150535.0,157532.66667,29194.0,0.1939"
"1583,2023,1,National,All,American Indian/Alaska Native,All,ESRD,All,All,4083.0,4091.6666667,814.0,0.1994"
"1584,2023,1,National,All,Asian/Pacific Islander,All,ESRD,All,All,15896.0,16453.333333,3992.0,0.2511"
"1585,2023,1,National,All,Black/African American,All,ESRD,All,All,76444.0,77599.666667,13335.0,0.1744"
"1586,2023,1,National,All,Hispanic,All,ESRD,All,All,44324.0,45694.0,9743.0,0.2198"
"1587,2023,1,National,All,Non-Hispanic White,All,ESRD,All,All,122852.0,125018.66667,26007.0,0.2117"
"1588,2023,1,National,All,All,All,All,0-64,All,2132109.0,2939964.6667,597145.0,0.2801"
"1589,2023,1,National,Medicare & Medicaid,All,All,All,0-64,All,1436173.0,1884014.0,431318.0,0.3003"
"1590,2023,1,National,Medicare Only,All,All,All,0-64,All,695936.0,1055950.6667,165827.0,0.2383"
"1591,2023,1,National,All,American Indian/Alaska Native,All,All,0-64,All,23791.0,32713.0,5679.0,0.2387"
"1592,2023,1,National,All,Asian/Pacific Islander,All,All,0-64,All,47294.0,68272.0,14567.0,0.308"
"1593,2023,1,National,All,Black/African American,All,All,0-64,All,356090.0,500726.33333,85756.0,0.2408"
"1594,2023,1,National,All,Hispanic,All,All,0-64,All,222001.0,311942.33333,67457.0,0.3039"
"1595,2023,1,National,All,Non-Hispanic White,All,All,0-64,All,1408334.0,1909336.0,400649.0,0.2845"
"1596,2023,1,National,All,All,All,All,65-74,All,9499352.0,13083609.333,1329161.0,0.1399"
"1597,2023,1,National,Medicare & Medicaid,All,All,All,65-74,All,1222470.0,1679935.0,266477.0,0.218"
"1598,2023,1,National,Medicare Only,All,All,All,65-74,All,8276882.0,11403674.333,1062684.0,0.1284"
"1599,2023,1,National,All,American Indian/Alaska Native,All,All,65-74,All,37353.0,50303.333333,5585.0,0.1495"
"1600,2023,1,National,All,Asian/Pacific Islander,All,All,65-74,All,281259.0,438289.0,51541.0,0.1833"
"1601,2023,1,National,All,Black/African American,All,All,65-74,All,639263.0,908611.33333,92121.0,0.1441"
"1602,2023,1,National,All,Hispanic,All,All,65-74,All,480631.0,787910.66667,83732.0,0.1742"
